Primary Category,Subscribers,Engagement Rate,High Engagement,Influencer Count
accessories & jewellery,49000000.0,0.08571428571428572,0.0,1
adult content,12014285.714285715,1.8881085024194277,0.14285714285714285,7
beauty,20591176.470588237,3.530778655480354,0.5,34
business & careers,13225000.0,9.795296842322639,0.5,4
cars & motorbikes,22260000.0,0.6623083364838422,0.0,5
cinema & actors/actresses,26684033.61344538,3.143344610619532,0.453781512605042,238
clothing & outfits,70940000.0,1.7286441143044002,0.4,5
computers & gadgets,19837500.0,2.9158087998747653,0.5,8
education,7000000.0,5.414285714285715,1.0,1
family,17546153.846153848,3.3270082320847627,0.46153846153846156,13
fashion,105550000.0,1.6946940752566118,0.25,12
finance & economics,44980000.0,1.1552052115938691,0.2,5
fitness & gym,32393750.0,1.7944380185569904,0.375,16
food & cooking,27150000.0,1.8130608449375225,0.25,4
humor & fun & happiness,21789473.684210528,1.8374742134863151,0.2631578947368421,19
kids & toys,14200000.0,2.361267605633803,1.0,1
lifestyle,15659154.929577464,7.0120141636997255,0.7464788732394366,142
literature & journalism,22633333.333333332,1.95916652513,0.3333333333333333,9
luxury,32200000.000000004,0.2602484472049689,0.0,1
modeling,24889130.43478261,2.4955261338310644,0.41304347826086957,46
nature & landscapes,130750000.0,0.23808550508631543,0.0,2
photography,69366666.66666667,7.832382350788027,0.6666666666666666,9
racing sports,13628571.42857143,3.342713593404898,0.42857142857142855,7
science,49050000.0,0.9568393650891306,0.0,2
shows,20024390.243902437,3.7635310695245066,0.5121951219512195,41
sports with a ball,39830630.63063063,1.6801544371617032,0.23423423423423423,111
travel,8400000.0,3.025,1.0,1
unknown,25268067.226890758,5.997803773412311,0.6176470588235294,238
winter sports,7700000.0,3.696103896103896,1.0,1
