S.no,Instagram name,Name,Subscribers,Audience country,Authentic engagement,Engagement average,Category_1,Category_2,Engagement Rate,High Engagement,Primary Category,Subscriber Tier,Subscribers_scaled,Authentic engagement_scaled,Engagement average_scaled
1,cristiano,Cristiano Ronaldo,477900000.0,india,5000000.0,6200000.0,sports with a ball,unknown,1.0462439840970914,0,sports with a ball,Mega,0.8738755278134753,0.3937007874015748,0.4868069920573513
2,kyliejenner,Kylie 🤍,368100000.0,united states,3500000.0,5500000.0,fashion,modeling,0.9508285791904374,0,fashion,Mega,0.6722966770699468,0.2755905511811024,0.43154005274045065
3,arianagrande,Ariana Grande,329600000.0,united states,2900000.0,4000000.0,unknown,unknown,0.8798543689320388,0,unknown,Mega,0.6016155682026804,0.2283464566929134,0.3131108970613779
4,leomessi,Leo Messi,358600000.0,indonesia,2700000.0,3500000.0,sports with a ball,family,0.7529280535415505,0,sports with a ball,Mega,0.6548558839728291,0.2125984251968504,0.2736345118350203
5,zendaya,Zendaya,151100000.0,united states,4300000.0,5800000.0,cinema & actors/actresses,fashion,2.845797485109199,1,cinema & actors/actresses,Mega,0.27391224527262714,0.33858267716535434,0.4552258838762652
6,selenagomez,Selena Gomez,344200000.0,united states,1800000.0,2400000.0,lifestyle,unknown,0.5229517722254503,0,lifestyle,Mega,0.6284193133835139,0.14173228346456693,0.18678646433703358
7,taylorswift,Taylor Swift,223500000.0,brazil,2500000.0,3300000.0,unknown,unknown,1.1185682326621924,0,unknown,Mega,0.40682944740223975,0.1968503937007874,0.25784395774447727
8,thv,V,50800000.0,south korea,12700000.0,12700000.0,unknown,unknown,25.0,1,unknown,Mega,0.08977418762621626,1.0,1.0
9,virat.kohli,Virat Kohli,212600000.0,india,2600000.0,2900000.0,sports with a ball,unknown,1.2229539040451554,0,sports with a ball,Mega,0.38681843216449424,0.2047244094488189,0.22626284956339118
10,beyonce,Beyoncé,274100000.0,united states,1500000.0,2100000.0,fashion,unknown,0.5472455308281649,0,fashion,Mega,0.4997246190563613,0.11811023622047244,0.16310063320121904
11,kimkardashian,Kim Kardashian,329800000.0,united states,1200000.0,1600000.0,fashion,beauty,0.3638568829593693,0,fashion,Mega,0.6019827427941986,0.09448818897637795,0.12362424797486143
12,tomholland2013,Tom Holland,68000000.0,united states,6300000.0,7700000.0,cinema & actors/actresses,unknown,9.264705882352942,1,cinema & actors/actresses,Mega,0.12135120249678723,0.49606299212598426,0.6052361477364241
13,j.m,JIMIN,43500000.0,south korea,11600000.0,11600000.0,unknown,unknown,26.666666666666668,1,unknown,Mid,0.07637231503579953,0.9133858267716536,0.9131519525020133
14,billieeilish,BILLIE EILISH,106200000.0,united states,3500000.0,4600000.0,unknown,unknown,3.295668549905838,1,unknown,Mega,0.1914815494767762,0.2755905511811024,0.360482559333007
15,lalalalisa_m,LISA,81700000.0,indonesia,5000000.0,5800000.0,unknown,unknown,6.119951040391677,1,unknown,Mega,0.14650266201578852,0.3937007874015748,0.4552258838762652
16,justinbieber,Justin Bieber,256300000.0,brazil,1300000.0,1800000.0,unknown,unknown,0.5072181037846274,0,unknown,Mega,0.4670460804112355,0.10236220472440945,0.13941480206540446
17,neymarjr,NJ 🇧🇷,178100000.0,brazil,1500000.0,2200000.0,sports with a ball,unknown,0.8422234699606962,0,sports with a ball,Mega,0.3234808151275932,0.11811023622047244,0.17099591024649055
18,agustd,SUGA of BTS 민윤기,38300000.0,south korea,9900000.0,9900000.0,lifestyle,unknown,25.848563968668408,1,lifestyle,Mid,0.06682577565632458,0.7795275590551181,0.7789322427323975
19,sooyaaa__,JISOO🤍,63800000.0,indonesia,4900000.0,5600000.0,beauty,unknown,7.6802507836990594,1,beauty,Mega,0.11364053607490361,0.3858267716535433,0.4394353297857222
20,jin,Jin of BTS,39500000.0,united states,8800000.0,8800000.0,unknown,unknown,22.278481012658226,1,unknown,Mid,0.06902882320543419,0.6929133858267716,0.6920841952344108
21,kendalljenner,Kendall,255400000.0,united states,852000.0,1300000.0,modeling,fashion,0.3335943617854346,0,modeling,Mega,0.46539379474940334,0.06708661417322835,0.09993841683904688
22,karolg,KAROL G,56200000.0,mexico,5000000.0,6100000.0,unknown,unknown,8.896797153024911,1,unknown,Mega,0.09968790159720947,0.3937007874015748,0.4789117150120798
23,kourtneykardash,Kourtney Kardashian Barker,196400000.0,united states,1200000.0,1700000.0,lifestyle,unknown,0.6109979633401221,0,lifestyle,Mega,0.3570772902515146,0.09448818897637795,0.13151952502013295
24,khaby00,Khaby Lame,79300000.0,india,2800000.0,3900000.0,sports with a ball,unknown,3.5308953341740232,1,sports with a ball,Mega,0.1420965669175693,0.2204724409448819,0.30521562001610636
25,uarmyhope,jhope,39400000.0,south korea,7800000.0,7800000.0,unknown,unknown,19.796954314720814,1,unknown,Mid,0.06884523590967505,0.6141732283464567,0.6131314247816956
26,jennierubyjane,J,69800000.0,indonesia,3700000.0,4400000.0,unknown,unknown,5.300859598853868,1,unknown,Mega,0.12465577382045162,0.29133858267716534,0.34469200524246396
27,roses_are_rosie,ROSÉ,62700000.0,indonesia,3700000.0,4300000.0,unknown,unknown,5.901116427432217,1,unknown,Mega,0.11162107582155315,0.29133858267716534,0.3367967281971924
28,badbunnypr,badbunnypr,42800000.0,united states,3600000.0,5600000.0,unknown,unknown,8.411214953271028,1,unknown,Mid,0.07508720396548559,0.28346456692913385,0.4394353297857222
29,milliebobbybrown,Millie Bobby Brown,58400000.0,brazil,3100000.0,4000000.0,cinema & actors/actresses,unknown,5.308219178082192,1,cinema & actors/actresses,Mega,0.1037268221039104,0.2440944881889764,0.3131108970613779
30,jlo,Jennifer Lopez,220900000.0,united states,830400.0,1100000.0,cinema & actors/actresses,unknown,0.37591670439112723,0,cinema & actors/actresses,Mega,0.4020561777125023,0.06538582677165354,0.08414786274850385
31,zayn,Zayn Malik,47000000.0,india,3100000.0,4900000.0,unknown,unknown,6.595744680851063,1,unknown,Mid,0.08279787038736919,0.2440944881889764,0.38416839046882156
32,rkive,RM,37800000.0,united states,5900000.0,5900000.0,lifestyle,unknown,15.608465608465607,1,lifestyle,Mid,0.06590783917752892,0.4645669291338583,0.4631211609215367
33,instagram,Instagram,546600000.0,india,285400.0,356600.0,photography,unknown,0.0522136845956824,0,photography,Mega,1.0,0.02247244094488189,0.025454373193955375
34,bts.bighitofficial,BTS official,67500000.0,indonesia,2500000.0,2700000.0,unknown,unknown,3.7037037037037033,1,unknown,Mega,0.12043326601799155,0.1968503937007874,0.21047229547284815
35,iamcardib,Cardi B,140400000.0,united states,893800.0,1300000.0,fashion,unknown,0.6366096866096866,0,fashion,Mega,0.2542684046263999,0.07037795275590551,0.09993841683904688
36,jungkook.97,전 정국 이올시다,45800000.0,united states,3800000.0,3800000.0,unknown,unknown,8.296943231441048,1,unknown,Mid,0.0805948228382596,0.2992125984251969,0.29732034297083487
37,champagnepapi,champagnepapi,120200000.0,united states,877000.0,1400000.0,unknown,unknown,0.7296173044925125,0,unknown,Mega,0.2171837708830549,0.06905511811023622,0.1078336938843184
38,therock,Dwayne Johnson,335900000.0,india,375200.0,477500.0,cinema & actors/actresses,fitness & gym,0.11169991068770467,0,cinema & actors/actresses,Mega,0.6131815678355058,0.029543307086614172,0.03499976314168864
39,nickiminaj,Barbie,201800000.0,united states,486100.0,765500.0,unknown,unknown,0.2408820614469772,0,unknown,Mega,0.3669910042225078,0.0382755905511811,0.05773816103207061
40,narendramodi,Narendra Modi,69300000.0,india,1800000.0,2000000.0,finance & economics,business & careers,2.5974025974025974,1,finance & economics,Mega,0.12373783734165596,0.14173228346456693,0.15520535615594752
41,kingjames,👑,131500000.0,united states,618300.0,1100000.0,sports with a ball,unknown,0.4701901140684411,0,sports with a ball,Mega,0.23792913530383697,0.04868503937007874,0.08414786274850385
42,khloekardashian,Khloé Kardashian,268399999.99999997,united states,403100.0,499300.0,clothing & outfits,lifestyle,0.15018628912071538,0,clothing & outfits,Mega,0.48926014319809064,0.03174015748031496,0.036720933537557836
43,dualipa,DUA LIPA,86300000.0,united states,1200000.0,1500000.0,unknown,unknown,1.3904982618771726,0,unknown,Mega,0.15494767762070866,0.09448818897637795,0.11572897092958992
44,willsmith,Will Smith,63700000.0,united states,1600000.0,1900000.0,cinema & actors/actresses,unknown,2.511773940345369,1,cinema & actors/actresses,Mega,0.11345694877914449,0.12598425196850394,0.147310079110676
45,shawnmendes,Shawn Mendes,70200000.0,brazil,1200000.0,1700000.0,unknown,unknown,1.7094017094017095,0,unknown,Mega,0.12539012300348815,0.09448818897637795,0.13151952502013295
46,eunwo.o_c,차은우,30200000.0,indonesia,3200000.0,3900000.0,lifestyle,unknown,10.596026490066226,1,lifestyle,Mid,0.05195520469983477,0.25196850393700787,0.30521562001610636
47,harrystyles,harrystyles,47300000.0,united states,1700000.0,2300000.0,fashion,unknown,3.5940803382663846,1,fashion,Mid,0.08334863227464659,0.13385826771653545,0.17889118729176207
48,dlwlrma,이지금 IU,27600000.0,south korea,3200000.0,3800000.0,unknown,unknown,11.594202898550725,1,unknown,Mid,0.0471819350100973,0.25196850393700787,0.29732034297083487
49,actorleeminho,이민호 leeminho,30700000.0,indonesia,2600000.0,3400000.0,cinema & actors/actresses,unknown,8.469055374592834,1,cinema & actors/actresses,Mid,0.052873141178630435,0.2047244094488189,0.26573923478974876
50,noahschnapp,Noah Schnapp,27500000.0,brazil,2800000.0,3700000.0,cinema & actors/actresses,unknown,10.181818181818182,1,cinema & actors/actresses,Mid,0.04699834771433817,0.2204724409448819,0.28942506592556333
51,adele,Adele,50800000.0,united states,1400000.0,1900000.0,unknown,unknown,2.7559055118110236,1,unknown,Mega,0.08977418762621626,0.11023622047244094,0.147310079110676
52,shraddhakapoor,Shraddha ✶,74400000.0,india,1100000.0,1300000.0,cinema & actors/actresses,unknown,1.478494623655914,0,cinema & actors/actresses,Mega,0.13310078942537176,0.08661417322834646,0.09993841683904688
53,gigihadid,Gigi Hadid,75400000.0,united states,795500.0,1200000.0,modeling,lifestyle,1.0550397877984083,0,modeling,Mega,0.1349366623829631,0.06263779527559055,0.09204313979377536
